phase,model,start,step,loss,train_acc,cv_acc,l2,theta_std,theta_absmax,elapsed,is_best
candidate,lightweight,46,0,0.52908092,0.74768519,0.72265625,0.005,0.37640332,0.83722686,1361.530,0
spsa,lightweight,46,1,0.52269784,0.75578704,0.75000000,0.005,0.40185424,0.93454393,1369.610,0
spsa,lightweight,46,2,0.52348942,0.75347222,0.74609375,0.005,0.40104863,0.92209638,1377.943,0
spsa,lightweight,46,3,0.52364177,0.75810185,0.74609375,0.005,0.39661644,0.90677801,1386.159,0
candidate,lightweight,47,0,0.54838976,0.73611111,0.69921875,0.01,0.43746228,0.94507179,1391.872,0
spsa,lightweight,47,1,0.54076544,0.73842593,0.70312500,0.005,0.43663832,0.94357784,1400.306,0
spsa,lightweight,47,2,0.53907208,0.74189815,0.70312500,0.005,0.43680977,0.92809915,1408.412,0
spsa,lightweight,47,3,0.53899655,0.74537037,0.70312500,0.005,0.43673249,0.91826243,1416.776,0
candidate,lightweight,48,0,0.53967483,0.73842593,0.72656250,0.005,0.57539561,1.06703837,1422.552,0
spsa,lightweight,48,1,0.54239260,0.73958333,0.73437500,0.005,0.58419595,1.09467211,1430.908,0
spsa,lightweight,48,2,0.54282702,0.73726852,0.72656250,0.005,0.59062541,1.10964335,1439.360,0
spsa,lightweight,48,3,0.54113458,0.74189815,0.72656250,0.005,0.59527001,1.13345193,1447.807,0
candidate,lightweight,49,0,0.54134284,0.73726852,0.69531250,0.005,0.41274925,0.77360688,1453.640,0
spsa,lightweight,49,1,0.54267510,0.73958333,0.69921875,0.005,0.41169143,0.81873523,1461.213,0
spsa,lightweight,49,2,0.54191495,0.73958333,0.69921875,0.005,0.41424821,0.83877110,1469.505,0
spsa,lightweight,49,3,0.53963105,0.74768519,0.70703125,0.005,0.40776868,0.80555680,1476.928,0
candidate,lightweight,50,0,0.55078276,0.72222222,0.69921875,0.005,0.53716007,1.34128821,1482.864,0
spsa,lightweight,50,1,0.55400268,0.71296296,0.69140625,0.005,0.53986643,1.32713905,1491.727,0
spsa,lightweight,50,2,0.55145041,0.71527778,0.69531250,0.005,0.54028059,1.34799756,1500.966,0
spsa,lightweight,50,3,0.55001378,0.71643519,0.69921875,0.005,0.54068841,1.35102707,1509.534,0
